# Lowrie & Edwards (2008) NLTE analytic IC for Mach 2 radiative shock
# Columns: x(cm)  rho(g/cc)  T_mat(K)  T_rad(K)  vx(cm/s)
# Shock at x = 0; simulation coordinates (downstream left, upstream right)
# 4000 points
-2.4227306827e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4199549887e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4171792948e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4144036009e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4116279070e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4088522131e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4060765191e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4033008252e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4005251313e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.3977494374e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.3949737434e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.3921980495e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.3894223556e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.3866466617e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.3838709677e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.3810952738e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
