# Mach45 analytic profile (Lowrie & Edwards 2008)
# Np=2000  xmin=1950.0  xmax=2450.0  shock_x=2300.0
# x(cm), rho(g/cc), T_gas(K), Erad(erg/cc), v_x(cm/s)
2009.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2009.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2009.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2009.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2010.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2010.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2010.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2010.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2011.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2011.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2011.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2011.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2012.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2012.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2012.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2012.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2013.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2013.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2013.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2013.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2014.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2014.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2014.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2014.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2015.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2015.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2015.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2015.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2016.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2016.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2016.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2016.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2017.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2017.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2017.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
