# Digitized from Steinberg & Heizler 2022 Fig. 9(b) SN reference (black)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-551.10798,6.1450058,6.2083403,1.3018635,-1.3237802e+08
-550.12319,6.1865565,6.2456366,1.3108787,-1.3542648e+08
-549.13839,6.2287419,6.2833813,1.3205778,-1.3861667e+08
-548.1536,6.2709272,6.3211261,1.3302769,-1.4180686e+08
-547.16881,6.31344,6.3589511,1.3406662,-1.451254e+08
-546.18401,6.3560495,6.3967997,1.3512591,-1.4848179e+08
-545.19922,6.3990704,6.4348363,1.3623671,-1.5191782e+08
-544.21443,6.4425932,6.4731021,1.3741036,-1.5545099e+08
-543.22963,6.4862055,6.5114143,1.3860019,-1.5901616e+08
-542.24484,6.5301983,6.5499236,1.3985891,-1.6271754e+08
-541.26004,6.5741912,6.588433,1.4111763,-1.6641892e+08
-540.27525,6.6189061,6.6271714,1.425033,-1.7030111e+08
-539.29046,6.663641,6.6659162,1.4389251,-1.7418834e+08
-538.30566,6.7086858,6.7048733,1.4537757,-1.7821209e+08
-537.32087,6.7538057,6.7438818,1.468859,-1.8226898e+08
-536.33608,6.7993799,6.7830656,1.484999,-1.8646348e+08
-535.35128,6.8451684,6.8223319,1.5016372,-1.9072288e+08
-534.36649,6.891211,6.8616993,1.5191112,-1.9509415e+08
-533.3817,6.9374205,6.9011332,1.5371342,-1.9953893e+08
-532.3969,6.9837983,6.9405873,1.5561232,-2.040766e+08
-531.41211,7.0303063,6.9800569,1.575858,-2.0868599e+08
-530.42731,7.0770707,7.019617,1.5967872,-2.1341563e+08
-529.44252,7.1240351,7.0592476,1.6186475,-2.1823899e+08
-528.45773,7.1711954,7.0989895,1.6417131,-2.231787e+08
-527.47293,7.2184851,7.1388048,1.6655735,-2.2819515e+08
-526.48814,7.265597,7.1785746,1.6909313,-2.3332507e+08
-525.50335,7.3126253,7.2183229,1.7169934,-2.3850837e+08
-524.51855,7.3599174,7.2581062,1.7453173,-2.4384163e+08
-523.53376,7.4072829,7.2978992,1.7742712,-2.4921666e+08
-522.54897,7.4545254,7.3376605,1.8058804,-2.5478979e+08
-521.56417,7.5017376,7.3774139,1.8379563,-2.6039301e+08
-520.57938,7.5486967,7.4171019,1.8730999,-2.6616444e+08
-519.59458,7.5955877,7.4567674,1.9092337,-2.7198332e+08
-518.60979,7.6422724,7.4963647,1.9483687,-2.7794602e+08
-517.625,7.6885405,7.5357949,1.9893868,-2.8398639e+08
-516.6402,7.7343088,7.5750249,2.0326643,-2.9011996e+08
-515.65541,7.7796554,7.6139853,2.0792506,-2.9637638e+08
-514.67062,7.8248031,7.6528187,2.1273977,-3.0269075e+08
-513.68582,7.8690605,7.6915706,2.1810898,-3.0919273e+08
-512.70103,7.912954,7.7301763,2.2364631,-3.1573819e+08
-511.71624,7.9556864,7.7682323,2.2967721,-3.2239798e+08
-510.73144,7.9977685,7.806012,2.3608322,-3.2914106e+08
-509.74665,8.0391722,7.8435036,2.428806,-3.3597105e+08
-508.76185,8.079105,7.8804062,2.5040476,-3.4292607e+08
-507.77706,8.118456,7.9170623,2.582188,-3.4992988e+08
-506.79227,8.1562979,7.9530122,2.6679631,-3.5705678e+08
-505.80747,8.192417,7.9884192,2.761354,-3.6424446e+08
-504.82268,8.2272518,8.0231454,2.8619801,-3.7150586e+08
-503.83789,8.2608324,8.057175,2.9702021,-3.7884471e+08
-502.85309,8.2923938,8.0903105,3.0894666,-3.8625888e+08
-501.8683,8.3220674,8.1222271,3.219095,-3.9370141e+08
-500.88351,8.3499892,8.1533026,3.3616623,-4.012177e+08
-499.89871,8.3758052,8.1830942,3.5176625,-4.0876623e+08
-498.91392,8.3993291,8.2114701,3.6902727,-4.1638218e+08
-497.92912,8.4201951,8.2380801,3.8798943,-4.2395612e+08
-496.94433,8.4385225,8.26297,4.0923923,-4.315843e+08
-495.95954,8.4541904,8.2859661,4.3299949,-4.392508e+08
-494.97474,8.4669952,8.3062352,4.5947126,-4.4687233e+08
-493.98995,8.4765668,8.3240301,4.8952451,-4.545117e+08
-493.00516,8.4832431,8.3383003,5.240432,-4.6219762e+08
-492.02036,8.4775914,8.3490787,5.6242924,-4.6963059e+08
-491.03557,8.4455547,8.3558086,5.9725587,-4.7555943e+08
-490.05078,8.4078636,8.3594009,6.2074831,-4.7916708e+08
-489.06598,8.3829902,8.3608411,6.3318061,-4.8097224e+08
-488.08119,8.3707586,8.3616116,6.3873366,-4.8175911e+08
-487.09639,8.3654803,8.3618879,6.4105136,-4.8209351e+08
-486.1116,8.3635459,8.3618879,6.4198831,-4.8223168e+08
-485.12681,8.3627169,8.3621643,6.4235713,-4.8227644e+08
-484.14201,8.3621643,8.3621643,6.425058,-4.8228695e+08
-483.15722,8.3621643,8.3621643,6.4256107,-4.8228695e+08
-482.17243,8.3621643,8.3621643,6.425887,-4.8231458e+08
-481.18763,8.3621643,8.3621643,6.425887,-4.8231458e+08
-480.20284,8.3621643,8.3621643,6.425887,-4.8231458e+08
-479.21805,8.3621643,8.3621643,6.425887,-4.8231458e+08
-478.23325,8.3621643,8.3621643,6.425887,-4.8231458e+08
-477.24846,8.3621643,8.3621643,6.425887,-4.8231458e+08
-476.26367,8.3621643,8.3621643,6.425887,-4.8231458e+08
-475.27887,8.3621643,8.3621643,6.425887,-4.8231458e+08
-474.29408,8.3621643,8.3621643,6.425887,-4.8231458e+08
-473.30928,8.3621643,8.3621643,6.425887,-4.8231458e+08
-472.32449,8.3621643,8.3621643,6.425887,-4.8231458e+08
-471.3397,8.3621643,8.3621643,6.425887,-4.8231458e+08
-470.3549,8.3621643,8.3621643,6.425887,-4.8231458e+08
-469.37011,8.3621643,8.3621643,6.425887,-4.8231458e+08
-468.38532,8.3621643,8.3621643,6.425887,-4.8231458e+08
-467.40052,8.3621643,8.3621643,6.425887,-4.8231458e+08
-466.41573,8.3621643,8.3621643,6.425887,-4.8231458e+08
-465.43094,8.3621643,8.3621643,6.425887,-4.8231458e+08
-464.44614,8.3621643,8.3621643,6.425887,-4.8231458e+08
-463.46135,8.3621643,8.3621643,6.425887,-4.8231458e+08
-462.47655,8.3621643,8.3621643,6.425887,-4.8231458e+08
-461.49176,8.3621643,8.3621643,6.425887,-4.8231458e+08
-460.50697,8.3621643,8.3621643,6.425887,-4.8231458e+08
-459.52217,8.3621643,8.3621643,6.425887,-4.8231458e+08
-458.53738,8.3621643,8.3621643,6.425887,-4.8231458e+08
-457.55259,8.3621643,8.3621643,6.425887,-4.8231458e+08
-456.56779,8.3621643,8.3621643,6.425887,-4.8231458e+08
-455.583,8.3621643,8.3621643,6.425887,-4.8231458e+08
