# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(f)
# Cylindrical hohlraum radiation temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  DIMC
# z,T_keV
0.8027852,0
0.80626887,0
0.80975253,0
0.81323619,0
0.81671986,0
0.82020352,0
0.82368719,0
0.82717085,0
0.83065452,0
0.83413818,0
0.83762185,0
0.84110551,0
0.84458918,0
0.84807284,0
0.85155651,0
0.85504017,0
0.85852383,0
0.8620075,0
0.86549116,0
0.86897483,0
0.87245849,0
0.87594216,0
0.87942582,0
0.88290949,0
0.88639315,0.088627104
0.88987682,0.30833845
0.89336048,0.5280498
0.89684414,0.64106979
0.90032781,0.65860763
0.90381147,0.67614547
0.90729514,0.69909732
0.9107788,0.72481492
0.91426247,0.75053253
0.91774613,0.75230657
0.9212298,0.74757016
0.92471346,0.74283375
0.92819713,0.77421345
0.93168079,0.80871761
0.93516446,0.84028896
0.93864812,0.80921
0.94213178,0.77813104
0.94561545,0.7566969
0.94909911,0.77953718
0.95258278,0.80237745
0.95606644,0.8162157
0.95955011,0.80936759
0.96303377,0.80251948
0.96651744,0.80390324
0.9700011,0.81587625
0.97348477,0.82784926
0.97696843,0.8358981
0.98045209,0.84088505
0.98393576,0.845872
0.98741942,0.84573391
0.99090309,0.84335595
0.99438675,0.840978
0.99787042,0.83648946
1.0013541,0.8315383
1.0048377,0.82658714
1.0083214,0.82017856
1.0118051,0.8137003
1.0152887,0.80646614
1.0187724,0.79144934
1.0222561,0.77643254
1.0257397,0.76973252
1.0292234,0.79378556
1.0327071,0.81783859
1.0361907,0.83247316
1.0396744,0.82859574
1.0431581,0.82471833
1.0466417,0.81882202
1.0501254,0.81066156
1.0536091,0.80250109
1.0570927,0.80899419
1.0605764,0.82503352
1.06406,0.84107284
1.0675437,0.8346429
1.0710274,0.8198968
1.074511,0.8051507
1.0779947,0.822613
1.0814784,0.84514414
1.084962,0.86767529
1.0884457,0.84976643
1.0919294,0.83138152
1.095413,0.81442027
1.0988967,0.80765498
1.1023804,0.8008897
