# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
9.638879447932e-04 1.033359812267e+02 4.270314137098e+04 4.271393222491e+04 3.428698160603e+05 2.328132078911e+12 9.202692980082e-03
9.644661896404e-04 1.036530076638e+02 4.260225906718e+04 4.261280021476e+04 3.426598242674e+05 2.325456369651e+12 9.262491433499e-03
9.650417647308e-04 1.040311942049e+02 4.250696254651e+04 4.251744165493e+04 3.425683780180e+05 2.324407916805e+12 9.322267843909e-03
9.656153912979e-04 1.044789250711e+02 4.241461972150e+04 4.242500938179e+04 3.425490350324e+05 2.324904673360e+12 9.381998853048e-03
9.661851725348e-04 1.049098221604e+02 4.233168280738e+04 4.234193064965e+04 3.425833035978e+05 2.325853151452e+12 9.441641455526e-03
9.667524173885e-04 1.053297301188e+02 4.226307047248e+04 4.227312105249e+04 3.426714133091e+05 2.327807467245e+12 9.501311181956e-03
9.673181807816e-04 1.056811933005e+02 4.222144006485e+04 4.223122376920e+04 3.428151134809e+05 2.330807701056e+12 9.561146509548e-03
9.678847915740e-04 1.059924011531e+02 4.220053124339e+04 4.221017348663e+04 3.430074904630e+05 2.334858067001e+12 9.621005534327e-03
9.684476773139e-04 1.062823510746e+02 4.219509375190e+04 4.220465324103e+04 3.432394288069e+05 2.339867522183e+12 9.680828606335e-03
9.690105301638e-04 1.066197028947e+02 4.218877674406e+04 4.219807001984e+04 3.435023840538e+05 2.345691335912e+12 9.740782983750e-03
9.695723170529e-04 1.070643592908e+02 4.216694527460e+04 4.217600031411e+04 3.437894032739e+05 2.352153205598e+12 9.800781078817e-03
9.701313157448e-04 1.075938137233e+02 4.213239927437e+04 4.214147572860e+04 3.440947783668e+05 2.359057536602e+12 9.860728431377e-03
9.706866441779e-04 1.082178318288e+02 4.208134159951e+04 4.209063803489e+04 3.444141825419e+05 2.366224048940e+12 9.920580258243e-03
9.712374518752e-04 1.088739497504e+02 4.202552591041e+04 4.203477623860e+04 3.447438828819e+05 2.373510846710e+12 9.980385158273e-03
