# Digitized from Steinberg & Heizler 2022 Fig. 9(a) DIMC (green)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.15963017,0.25662811,0.25242725,2.2103029,-18095660
-0.1595064,0.25656051,0.25281221,2.21191,-18105729
-0.15938262,0.25651362,0.25246071,2.2133956,-18117071
-0.15925885,0.25646304,0.25190375,2.2148244,-18127067
-0.15913507,0.25639953,0.25153157,2.2163322,-18136140
-0.1590113,0.25634183,0.25206538,2.2177929,-18146875
-0.15888753,0.25627315,0.25218042,2.2193256,-18156445
-0.15876375,0.25620862,0.25308721,2.2207701,-18167518
-0.15863998,0.2561521,0.25065323,2.2220999,-18176764
-0.1585162,0.25609006,0.25118404,2.2236149,-18185843
-0.15839243,0.25604211,0.25295795,2.2248339,-18194977
-0.15826866,0.25599416,0.25223582,2.2261525,-18203548
-0.15814488,0.25594106,0.25295028,2.227471,-18211134
-0.15802111,0.25589304,0.25307243,2.228694,-18219359
-0.15789733,0.25585391,0.25286079,2.2298296,-18227292
-0.15777356,0.25580677,0.25270958,2.2309623,-18235169
-0.15764979,0.2557568,0.25220848,2.2321161,-18243449
-0.15752601,0.25570625,0.25282304,2.2333204,-18251012
-0.15740224,0.25565195,0.25253003,2.2345208,-18257872
-0.15727847,0.25561664,0.25275419,2.2356164,-18264722
-0.15715469,0.25558403,0.25282325,2.2364826,-18271615
-0.15703092,0.25552856,0.25345829,2.2376644,-18278507
-0.15690714,0.25547912,0.25258861,2.2386458,-18285365
-0.15678337,0.25542906,0.25198759,2.2396693,-18291667
-0.1566596,0.25539139,0.25320718,2.2405551,-18297048
-0.15653582,0.25534993,0.25325888,2.2415204,-18303944
-0.15641205,0.25531785,0.25328008,2.2424219,-18310817
-0.15628827,0.25528577,0.25347224,2.2432643,-18316358
-0.1561645,0.25525359,0.25328828,2.2441891,-18322480
-0.15604073,0.25523341,0.25293699,2.2449745,-18327663
-0.15591695,0.25519711,0.2527692,2.2459036,-18332286
-0.15579318,0.25515711,0.25362817,2.2467538,-18338950
-0.15566941,0.25512338,0.25353405,2.2475026,-18343778
-0.15554563,0.25507901,0.25291303,2.2484097,-18350306
-0.15542186,0.25505474,0.25323443,2.2490464,-18354926
-0.15529808,0.25502793,0.25305783,2.2497705,-18359524
-0.15517431,0.25499566,0.25282432,2.2504965,-18364134
-0.15505054,0.25496338,0.2532376,2.2512229,-18368747
-0.15492676,0.25493106,0.25369124,2.2519498,-18373363
-0.15480299,0.25489339,0.25412764,2.2526754,-18377970
-0.15467921,0.25487133,0.25411959,2.2533113,-18382591
-0.15455544,0.25483461,0.25243243,2.2540213,-18387220
-0.15443167,0.25480926,0.25227176,2.2546349,-18391820
-0.15430789,0.2547777,0.25342805,2.2553513,-18396209
-0.15418412,0.2547565,0.25169859,2.2559354,-18398967
-0.15406034,0.25474614,0.25348713,2.2564214,-18403596
-0.15393657,0.25472397,0.25231769,2.2569967,-18408224
-0.1538128,0.25469157,0.25276564,2.2576702,-18411796
-0.15368902,0.25465918,0.25386773,2.2582777,-18415371
-0.15356525,0.2546319,0.25361137,2.258808,-18420000
-0.15344148,0.25461929,0.2528325,2.2592064,-18422959
-0.1533177,0.25459807,0.25341124,2.2597676,-18425273
-0.15319393,0.2545665,0.25380831,2.260375,-18429666
-0.15307015,0.25455009,0.25383184,2.2608626,-18432184
-0.15294638,0.25453389,0.25322135,2.2613485,-18436435
-0.15282261,0.25451565,0.25214256,2.2618651,-18438750
-0.15269883,0.25449684,0.25281182,2.2623907,-18441069
-0.15257506,0.2544852,0.25330289,2.2628093,-18443392
-0.15245128,0.25446899,0.25349221,2.2632953,-18446916
-0.15232751,0.25444785,0.25370807,2.2637812,-18450131
-0.15220374,0.25442343,0.25393415,2.2641839,-18452456
-0.15207996,0.25440553,0.25388107,2.2646453,-18454774
-0.15195619,0.25438933,0.25267127,2.2650241,-18457088
-0.15183242,0.25436565,0.25329581,2.2653987,-18459416
-0.15170864,0.25435068,0.2526424,2.2658664,-18462090
-0.15158487,0.25433853,0.25435781,2.2662327,-18466169
-0.15146109,0.25431691,0.25356457,2.266639,-18468489
-0.15133732,0.25430413,0.2533426,2.2670746,-18470812
-0.15121355,0.25429178,0.25437952,2.2674404,-18471926
-0.15108977,0.25428047,0.25414619,2.2678073,-18473354
-0.150966,0.25426662,0.25420715,2.2681724,-18475673
-0.15084222,0.25426332,0.25294774,2.2684415,-18478000
-0.15071845,0.25424879,0.2527859,2.2686861,-18480330
-0.15059468,0.25423259,0.25327712,2.269049,-18482646
-0.1504709,0.25421491,0.25245448,2.2694159,-18484976
-0.15034713,0.25419472,0.25306836,2.2697507,-18487306
-0.15022335,0.2541837,0.25428669,2.2700381,-18489630
-0.15009958,0.25416745,0.25345144,2.2704036,-18491951
-0.14997581,0.25415995,0.25385721,2.2707037,-18493024
-0.14985203,0.25415482,0.25392727,2.2709477,-18494487
-0.14972826,0.254129,0.25220771,2.2713691,-18496817
-0.14960449,0.25412302,0.25312927,2.2715586,-18499147
-0.14948071,0.25410826,0.25318797,2.2717923,-18501464
-0.14935694,0.25410744,0.25253034,2.2720369,-18501697
-0.14923316,0.25409929,0.25328943,2.2722812,-18504024
-0.14910939,0.25409118,0.25369355,2.27249,-18506343
-0.14898562,0.2540799,0.2526231,2.2727057,-18508679
-0.14886184,0.25406746,0.25303283,2.2730146,-18509903
-0.14873807,0.25405009,0.25342829,2.2732585,-18511223
-0.14861429,0.25403641,0.25414658,2.2735031,-18512013
-0.14849052,0.25402209,0.25482016,2.2736554,-18513773
-0.14836675,0.25401964,0.25385263,2.2738816,-18516103
-0.14824297,0.25401869,0.25361923,2.2740155,-18516233
-0.1481192,0.25399641,0.25336999,2.2742601,-18516544
-0.14799543,0.25399011,0.25469898,2.2745597,-18518343
