# Digitized from Steinberg & Heizler 2022 Fig. 9(a) analytic (magenta)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.16123923,0.24523155,0.23751741,2.0848215,-17947696
-0.16111546,0.24512402,0.23763639,2.0875671,-17967601
-0.16099168,0.24501648,0.23775536,2.0903127,-17987507
-0.16086791,0.24491276,0.2378662,2.0928764,-18005647
-0.16074413,0.24480982,0.23797538,2.0954031,-18023428
-0.16062036,0.24471082,0.23808038,2.0978333,-18041032
-0.16049659,0.2446147,0.23818232,2.1001924,-18058507
-0.16037281,0.24451933,0.23828302,2.1025293,-18075639
-0.16024904,0.24442777,0.23837726,2.1047508,-18090987
-0.16012526,0.24433622,0.23847151,2.1069723,-18106336
-0.16000149,0.24424871,0.23856159,2.1090958,-18121415
-0.15987772,0.24416451,0.23864827,2.111139,-18136275
-0.15975394,0.2440803,0.23873495,2.1131821,-18151134
-0.15963017,0.24400141,0.23881776,2.1151204,-18164575
-0.1595064,0.2439247,0.23889899,2.1170157,-18177436
-0.15938262,0.24384798,0.23898022,2.118911,-18190297
-0.15925885,0.24377331,0.23905673,2.1207142,-18203135
-0.15913507,0.24370005,0.23912999,2.1224543,-18215956
-0.1590113,0.24362836,0.23920168,2.1241692,-18228257
-0.15888753,0.24356053,0.23926951,2.1258224,-18239279
-0.15876375,0.24349271,0.23933733,2.1274756,-18250300
-0.15863998,0.24342921,0.23940083,2.1289921,-18260618
-0.1585162,0.2433668,0.23946324,2.1304745,-18270761
-0.15839243,0.24330488,0.23952516,2.1319484,-18280891
-0.15826866,0.24324768,0.23958236,2.1333428,-18290902
-0.15814488,0.24319047,0.23963957,2.1347372,-18300912
-0.15802111,0.24313404,0.23969631,2.1361079,-18310693
-0.15789733,0.24308215,0.23975037,2.1373405,-18319126
-0.15777356,0.24303025,0.23980443,2.138573,-18327560
-0.15764979,0.24297835,0.23985849,2.1398055,-18335993
-0.15752601,0.24293049,0.23990526,2.1409292,-18343639
-0.15740224,0.2428831,0.23995117,2.1420398,-18351191
-0.15727847,0.24283571,0.23999707,2.1431504,-18358743
-0.15715469,0.24278833,0.24004298,2.144261,-18366295
-0.15703092,0.24274191,0.24008813,2.1453609,-18373813
-0.15690714,0.24270128,0.24012876,2.1463969,-18381127
-0.15678337,0.24266003,0.24017001,2.1473849,-18387793
-0.1566596,0.24261789,0.24021216,2.1483044,-18393540
-0.15653582,0.24257921,0.24025083,2.1492249,-18399724
-0.15641205,0.24254308,0.24028696,2.1501462,-18406227
-0.15628827,0.24250638,0.24032154,2.1510281,-18412452
-0.1561645,0.24246933,0.24035522,2.1518869,-18418514
-0.15604073,0.24243522,0.24038779,2.1526916,-18423861
-0.15591695,0.2424036,0.24041941,2.1534507,-18428605
-0.15579318,0.24237141,0.24045054,2.1542072,-18433433
-0.15566941,0.24233803,0.24048058,2.1549583,-18438441
-0.15554563,0.24230574,0.2405109,2.1556998,-18443384
-0.15542186,0.24227751,0.24054227,2.1564055,-18448089
-0.15529808,0.24224928,0.24057364,2.1571113,-18452794
-0.15517431,0.24222332,0.24059968,2.1577183,-18457119
-0.15505054,0.24219744,0.24062557,2.1583222,-18461433
-0.15492676,0.2421713,0.24065032,2.1589205,-18465559
-0.15480299,0.24214494,0.24067405,2.1595138,-18469514
-0.15467921,0.24211857,0.24069778,2.1601071,-18473469
-0.15455544,0.24209634,0.24071964,2.1606534,-18477112
-0.15443167,0.2420748,0.24074118,2.161192,-18480702
-0.15430789,0.24205325,0.24076272,2.1617305,-18484292
-0.15418412,0.2420331,0.24078287,2.1622343,-18488264
-0.15406034,0.24201307,0.2408029,2.1627351,-18492270
-0.15393657,0.24199172,0.24082174,2.1632061,-18495285
-0.1538128,0.24197006,0.24084031,2.1636702,-18498069
-0.15368902,0.2419508,0.24085814,2.1641161,-18500745
-0.15356525,0.24193359,0.24087536,2.1645464,-18503327
-0.15344148,0.2419165,0.24089245,2.1649737,-18505959
-0.1533177,0.24190068,0.24090827,2.1653692,-18509123
-0.15319393,0.24188485,0.24092409,2.1657647,-18512287
-0.15307015,0.24186863,0.24093931,2.1661301,-18515029
-0.15294638,0.24185184,0.2409537,2.1664539,-18517188
-0.15282261,0.24183505,0.24096809,2.1667777,-18519347
-0.15269883,0.24181991,0.24098199,2.167115,-18521432
-0.15257506,0.24180652,0.24099539,2.1674666,-18523441
-0.15245128,0.2417935,0.24100841,2.1678085,-18525395
-0.15232751,0.24178105,0.24102086,2.1681351,-18527261
-0.15220374,0.24176873,0.24103318,2.1684532,-18529110
-0.15207996,0.24175723,0.24104468,2.168712,-18530836
-0.15195619,0.24174572,0.24105619,2.1689709,-18532561
-0.15183242,0.24173485,0.24106706,2.1692424,-18534731
-0.15170864,0.24172428,0.24107763,2.1695199,-18537110
-0.15158487,0.24171368,0.24108818,2.1697962,-18539470
-0.15146109,0.24170164,0.24109782,2.170013,-18540915
-0.15133732,0.24168959,0.24110745,2.1702298,-18542360
-0.15121355,0.24167809,0.24111713,2.1704449,-18543762
-0.15108977,0.24167139,0.24112717,2.1706458,-18544766
-0.150966,0.24166469,0.24113721,2.1708467,-18545770
-0.15084222,0.24165534,0.24114657,2.1710807,-18547641
-0.15071845,0.24164598,0.24115593,2.1713146,-18549513
-0.15059468,0.24163715,0.24116261,2.1715032,-18550635
-0.1504709,0.2416285,0.24116838,2.1716761,-18551500
-0.15034713,0.24162006,0.24117481,2.1718448,-18552586
-0.15022335,0.24161212,0.24118276,2.1720038,-18554175
-0.15009958,0.24160417,0.24119071,2.1721627,-18555765
-0.14997581,0.24159825,0.24119662,2.172336,-18556791
-0.14985203,0.24159342,0.24120145,2.1725171,-18557516
-0.14972826,0.2415886,0.24120628,2.1726981,-18558240
-0.14960449,0.24158238,0.2412125,2.1728571,-18559172
